"","respondent","education","Select.your.age.range","Gender","NLRA_Member","NH_Resident_Yes2","createtime","id","buttonname","visibleLayers","zoomLevel","shape","longitude","latitude","recreation","ecosystem","economic","viewshed","historic","culture"
"37",193,"High School","45 - 64  years","Female","No","Yes","2016-03-16T00:11:54.318Z",267,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.889038,43.652769,3,3,NA,3,NA,3
"38",194,NA,NA,NA,NA,NA,"2016-03-16T00:06:05.181Z",265,"Conservation Priorities","Roads and Terrain, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.826553,43.671348,2,3,1,3,1,1
"39",203,"PhD or Higher","65 - 84 years","Female","Yes","No","2016-03-16T00:18:19.700Z",273,"Conservation Priorities","Google Hybrid, Conservation Lands, Newfound Lake Watershed",12,"POINT",-71.760979,43.668368,NA,NA,NA,NA,NA,NA
"40",203,"PhD or Higher","65 - 84 years","Female","Yes","No","2016-03-16T00:18:43.814Z",274,"Conservation Priorities","Google Hybrid, Conservation Lands, Newfound Lake Watershed",12,"POINT",-71.759605,43.673583,3,3,3,3,3,3
"41",203,"PhD or Higher","65 - 84 years","Female","Yes","No","2016-03-16T00:16:00.821Z",271,"Conservation Priorities","Google Hybrid, Conservation Lands, Newfound Lake Watershed",12,"POINT",-71.736603,43.625887,NA,3,NA,3,3,3
"42",220,"Bachelors","45 - 64  years","Male","No","No","2016-03-16T00:54:50.786Z",284,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",14,"POINT",-71.772909,43.63856,2,3,1,3,1,1
"43",227,"Masters","65 - 84 years","Female","Yes","Yes","2016-03-16T01:43:54.364Z",291,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.746559,43.623402,3,3,NA,3,3,3
"44",227,"Masters","65 - 84 years","Female","Yes","Yes","2016-03-16T01:43:19.557Z",290,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.759949,43.67557,3,3,3,3,3,3
"45",247,NA,NA,NA,NA,NA,"2016-03-16T10:22:00.594Z",315,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.825867,43.699651,3,3,3,3,3,3
"46",247,NA,NA,NA,NA,NA,"2016-03-16T10:22:23.758Z",316,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.903801,43.674328,3,3,3,3,3,3
"47",247,NA,NA,NA,NA,NA,"2016-03-16T10:22:40.025Z",317,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.798744,43.696673,3,3,3,3,3,3
"48",247,NA,NA,NA,NA,NA,"2016-03-16T10:22:54.976Z",318,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.844063,43.711068,3,3,3,3,3,3
"49",247,NA,NA,NA,NA,NA,"2016-03-16T10:23:07.239Z",319,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.790504,43.612962,3,3,3,3,3,3
